rank,bib,name,discipline,team,tier,run1_race1,run2_race1,best_time_race1,points_race1,run1_race2,run2_race2,best_time_race2,points_race2,total_top_3_points
100,124.0,Steve Crawford,SNBD,Black,14.0,39.88,39.87,39.87,6.0,40.89,9999.0,40.89,5.0,11.0
104,140.0,Linda Leistner,SNBD,Black,15.0,42.72,9999.0,42.72,7.0,44.82,44.66,44.66,8.0,15.0
4,113.0,Graham Ramshaw,SKI,Blue,1.0,24.15,23.81,23.81,7.0,24.49,24.53,24.49,7.0,14.0
13,99.0,steph coward,SKI,Blue,2.0,24.19,24.76,24.19,9.0,25.35,24.98,24.98,6.0,15.0
22,94.0,Shane Henry,SKI,Blue,3.0,24.99,9998.0,24.99,5.0,25.61,25.31,25.31,5.0,10.0
20,86.0,Kenneth Stoneham,SKI,Blue,4.0,24.89,25.65,24.89,9.0,25.68,25.28,25.28,10.0,19.0
38,78.0,Robert Hawtin,SKI,Blue,5.0,26.3,9999.0,26.3,6.0,27.05,26.68,26.68,5.0,11.0
36,68.0,Brook Hamilton,SKI,Blue,6.0,26.59,26.28,26.28,8.0,26.25,26.52,26.25,9.0,17.0
62,64.0,David Rosenblatt,SKI,Blue,7.0,29.31,29.14,29.14,4.0,27.61,27.94,27.61,8.0,12.0
48,51.0,Courtney Scott,SKI,Blue,8.0,27.39,27.94,27.39,10.0,27.28,27.02,27.02,10.0,20.0
65,46.0,Maurice Cacho,SKI,Blue,9.0,29.96,29.72,29.72,7.0,29.52,29.52,29.52,7.0,14.0
70,36.0,Kevin Kilmer-Choi,SKI,Blue,10.0,30.49,30.47,30.47,7.0,30.12,9999.0,30.12,8.0,15.0
85,20.0,Peter Livingston,SKI,Blue,11.0,33.35,9999.0,33.35,4.0,33.7,9999.0,33.7,6.0,10.0
96,11.0,Alex Henry,SKI,Blue,12.0,38.33,9999.0,38.33,4.0,36.87,35.97,35.97,6.0,10.0
41,9.0,Chris Reid,SKI,Blue,13.0,26.41,27.12,26.41,10.0,,9999.0,9999.0,0.0,10.0
112,213.0,Graham Ramshaw,SNBD,Blue,14.0,9999.0,9999.0,9999.0,0.0,36.96,36.86,36.86,8.0,8.0
99,136.0,Kevin Kilmer-Choi,SNBD,Blue,15.0,39.6,9999.0,39.6,10.0,37.91,9999.0,37.91,10.0,20.0
1,111.0,Nick Balan,SKI,Green Machine,1.0,23.58,23.32,23.32,10.0,24.0,24.22,24.0,10.0,20.0
14,107.0,Alastair Connor,SKI,Green Machine,2.0,24.31,24.34,24.31,8.0,,9999.0,9999.0,0.0,8.0
15,96.0,Tyler Pridham,SKI,Green Machine,3.0,24.75,24.32,24.32,7.0,25.7,9999.0,25.7,4.0,11.0
32,89.0,Mark Laurie,SKI,Green Machine,4.0,26.03,9998.0,26.03,6.0,26.44,26.53,26.44,6.0,12.0
46,79.0,Kevin Beattie,SKI,Green Machine,5.0,27.3,27.79,27.3,4.0,27.98,27.58,27.58,4.0,8.0
42,69.0,Todd Robertson,SKI,Green Machine,6.0,26.64,27.04,26.64,6.0,27.0,26.68,26.68,7.0,13.0
44,58.0,Don French,SKI,Green Machine,7.0,27.27,26.92,26.92,10.0,26.44,26.7,26.44,9.0,19.0
79,50.0,Michael Godfrey,SKI,Green Machine,8.0,32.15,9999.0,32.15,5.0,29.18,9999.0,29.18,6.0,11.0
112,42.0,Tushar Mehta,SKI,Green Machine,9.0,9999.0,9999.0,9999.0,0.0,28.14,27.93,27.93,9.0,9.0
78,33.0,Noah Schein,SKI,Green Machine,10.0,31.88,32.7,31.88,4.0,32.99,32.69,32.69,5.0,9.0
81,21.0,Sarah Robertson,SKI,Green Machine,11.0,32.84,32.84,32.84,6.0,,9999.0,9999.0,0.0,6.0
87,14.0,Antonio Liberatore,SKI,Green Machine,12.0,33.65,9999.0,33.65,8.0,32.72,33.53,32.72,9.0,17.0
98,6.0,Talia Laurie,SKI,Green Machine,13.0,39.53,9999.0,39.53,5.0,,9999.0,9999.0,0.0,5.0
105,8.0,George Liu,SKI,Green Machine,13.0,45.82,43.69,43.69,4.0,40.86,38.95,38.95,6.0,10.0
119,,avg_tier_points,,Green Machine,14.0,,,,7.5,,,,7.5,15.0
102,125.0,Kyla Taylor,SNBD,Green Machine,15.0,42.44,41.77,41.77,9.0,,9999.0,9999.0,0.0,9.0
112,114.0,Hunter King,SKI,Orange,1.0,9999.0,9999.0,9999.0,0.0,24.6,24.79,24.6,5.0,5.0
11,104.0,Brandon Hune,SKI,Orange,2.0,24.13,9999.0,24.13,10.0,24.52,24.47,24.47,8.0,18.0
6,95.0,Nick Parr,SKI,Orange,3.0,24.51,23.87,23.87,10.0,,9999.0,9999.0,0.0,10.0
35,85.0,Joanna Perrault,SKI,Orange,4.0,26.35,26.2,26.2,4.0,27.02,27.23,27.02,5.0,9.0
34,82.0,Brad Brock,SKI,Orange,5.0,26.18,26.58,26.18,7.0,26.72,26.67,26.67,6.0,13.0
55,71.0,Bengie Maxwell,SKI,Orange,6.0,28.41,9999.0,28.41,4.0,27.55,27.42,27.42,5.0,9.0
56,60.0,Mitch Perrault,SKI,Orange,7.0,28.63,28.94,28.63,6.0,28.45,28.5,28.45,6.0,12.0
52,52.0,Gil Nayot,SKI,Orange,8.0,28.78,28.05,28.05,7.0,,9999.0,9999.0,0.0,7.0
58,45.0,Tim Caughey,SKI,Orange,9.0,28.82,9999.0,28.82,10.0,28.34,27.94,27.94,8.0,18.0
83,38.0,Tony Petrella,SKI,Orange,10.0,33.01,34.29,33.01,3.0,,9999.0,9999.0,0.0,3.0
84,28.0,Bernie Oegema,SKI,Orange,11.0,33.13,33.5,33.13,5.0,33.62,9999.0,33.62,7.0,12.0
88,18.0,Elaine Kilmer-Choi,SKI,Orange,12.0,35.37,9999.0,35.37,7.0,35.01,9999.0,35.01,7.0,14.0
66,2.0,Nick Davies,SKI,Orange,13.0,30.1,30.0,30.0,9.0,28.91,28.54,28.54,10.0,19.0
93,128.0,Bernie Oegema,SNBD,Orange,14.0,36.53,9999.0,36.53,8.0,39.56,37.97,37.97,7.0,15.0
109,118.0,Elaine Kilmer-Choi,SNBD,Orange,15.0,45.44,9999.0,45.44,5.0,45.58,47.31,45.58,7.0,12.0
5,115.0,Emma Williamson,SKI,Pink Powder Club,1.0,23.82,24.06,23.82,6.0,24.32,24.47,24.32,8.0,14.0
23,105.0,Jeffrey Kansun,SKI,Pink Powder Club,2.0,9998.0,25.07,25.07,4.0,25.24,9999.0,25.24,5.0,9.0
19,93.0,Alex Thayer,SKI,Pink Powder Club,3.0,25.25,24.66,24.66,6.0,24.85,24.79,24.79,8.0,14.0
37,90.0,Emily Gwin,SKI,Pink Powder Club,4.0,27.08,26.29,26.29,3.0,25.71,25.89,25.71,8.0,11.0
29,77.0,David Garber,SKI,Pink Powder Club,5.0,26.11,25.87,25.87,9.0,26.7,26.6,26.6,7.0,16.0
43,66.0,Justin Trevan,SKI,Pink Powder Club,6.0,27.24,26.77,26.77,5.0,,9999.0,9999.0,0.0,5.0
112,55.0,Josh Erlick,SKI,Pink Powder Club,7.0,9999.0,9999.0,9999.0,0.0,26.42,26.17,26.17,10.0,10.0
86,49.0,Olivia Penzo,SKI,Pink Powder Club,8.0,33.6,9999.0,33.6,4.0,30.94,29.94,29.94,5.0,9.0
67,44.0,Sheri Ramshaw,SKI,Pink Powder Club,9.0,30.07,31.29,30.07,6.0,,9999.0,9999.0,0.0,6.0
64,34.0,Rachel Megitt,SKI,Pink Powder Club,10.0,29.61,29.69,29.61,9.0,,9999.0,9999.0,0.0,9.0
108,27.0,Leah Bacon,SKI,Pink Powder Club,11.0,45.41,48.31,45.41,3.0,,9999.0,9999.0,0.0,3.0
95,17.0,JD Etter,SKI,Pink Powder Club,12.0,38.1,9999.0,38.1,5.0,36.6,9999.0,36.6,5.0,10.0
97,10.0,David Moull,SKI,Pink Powder Club,13.0,39.04,9999.0,39.04,6.0,34.91,34.71,34.71,7.0,13.0
80,126.0,Jacob French,SNBD,Pink Powder Club,14.0,32.8,34.01,32.8,10.0,34.74,33.74,33.74,10.0,20.0
103,144.0,Sheri Ramshaw,SNBD,Pink Powder Club,15.0,41.94,9999.0,41.94,8.0,,9999.0,9999.0,0.0,8.0
10,110.0,Will Stewart,SKI,Red,1.0,24.52,24.12,24.12,4.0,24.94,24.75,24.75,4.0,8.0
112,106.0,Jordan Kofman,SKI,Red,2.0,9999.0,9999.0,9999.0,0.0,24.44,24.15,24.15,10.0,10.0
8,92.0,Mike Parr,SKI,Red,3.0,23.91,9998.0,23.91,9.0,25.06,24.66,24.66,9.0,18.0
29,87.0,Sean Cotnam,SKI,Red,4.0,25.87,9999.0,25.87,7.0,25.94,25.93,25.93,7.0,14.0
31,74.0,Tori Johnston,SKI,Red,5.0,26.21,25.91,25.91,8.0,25.86,9999.0,25.86,9.0,17.0
28,65.0,Jarid Palter,SKI,Red,6.0,26.0,25.72,25.72,9.0,26.57,26.47,26.47,8.0,17.0
59,56.0,Laura Libby,SKI,Red,7.0,29.05,29.32,29.05,5.0,27.9,9999.0,27.9,7.0,12.0
57,48.0,Rebecca Henry,SKI,Red,8.0,28.75,9999.0,28.75,6.0,29.17,9999.0,29.17,7.0,13.0
59,41.0,Lisa Bugler,SKI,Red,9.0,29.05,30.83,29.05,9.0,29.67,29.95,29.67,6.0,15.0
73,35.0,Jocelyn French,SKI,Red,10.0,30.74,32.4,30.74,6.0,29.79,30.9,29.79,9.0,15.0
54,29.0,Peter Daly,SKI,Red,11.0,28.32,9999.0,28.32,10.0,27.91,27.64,27.64,10.0,20.0
76,15.0,Sarah Moore,SKI,Red,12.0,32.76,31.64,31.64,10.0,31.23,30.89,30.89,10.0,20.0
90,3.0,Mike Thalassinos,SKI,Red,13.0,35.82,37.86,35.82,7.0,31.29,31.51,31.29,9.0,16.0
92,165.0,Jarid Palter,SNBD,Red,14.0,36.44,36.09,36.09,9.0,35.6,34.49,34.49,9.0,18.0
119,,avg_tier_points,,Red,15.0,,,,7.0,,,,7.0,14.0
2,109.0,Michael McTaggart,SKI,Yellow,1.0,23.37,23.43,23.37,9.0,24.41,24.26,24.26,9.0,18.0
16,101.0,Alexei Goodhand,SKI,Yellow,2.0,24.56,24.66,24.56,7.0,24.57,24.37,24.37,9.0,16.0
25,91.0,Andrew McManus,SKI,Yellow,3.0,26.43,25.27,25.27,3.0,25.29,25.35,25.29,6.0,9.0
21,88.0,Jonathan Ages,SKI,Yellow,4.0,25.28,24.91,24.91,8.0,25.89,25.57,25.57,9.0,17.0
26,73.0,Jeff Parr,SKI,Yellow,5.0,25.54,25.56,25.54,10.0,25.81,25.69,25.69,10.0,20.0
112,67.0,Connor Whitney,SKI,Yellow,6.0,9999.0,9999.0,9999.0,0.0,26.71,9999.0,26.71,6.0,6.0
47,62.0,Wilson John Alexander Duff,SKI,Yellow,7.0,27.33,9999.0,27.33,8.0,,9999.0,9999.0,0.0,8.0
49,53.0,Spencer Feeley,SKI,Yellow,8.0,27.44,29.76,27.44,9.0,27.32,27.33,27.32,9.0,18.0
63,39.0,Ari Levin,SKI,Yellow,9.0,29.55,29.3,29.3,8.0,26.67,26.43,26.43,10.0,18.0
68,31.0,Robyn Feeley,SKI,Yellow,10.0,30.26,31.3,30.26,8.0,30.41,30.32,30.32,7.0,15.0
75,23.0,Catherine Capek,SKI,Yellow,11.0,31.43,34.75,31.43,8.0,31.17,32.25,31.17,8.0,16.0
101,16.0,James Bond,SKI,Yellow,12.0,41.82,40.28,40.28,3.0,,9999.0,9999.0,0.0,3.0
111,1.0,Kenny Freeman,SKI,Yellow,13.0,69.7,78.16,69.7,2.0,61.95,9999.0,61.95,4.0,6.0
119,,avg_tier_points,,Yellow,14.0,,,,7.5,,,,7.5,15.0
110,121.0,Henry Long,SNBD,Yellow,15.0,50.48,51.61,50.48,4.0,55.19,46.74,46.74,6.0,10.0
